data_masked_index,TESS_true_age,TESS_predicted_age,APOK2_true_age,APOK2_predicted_age,age_difference
545436,0.5544515975670781,1.9367304097589866,1.5,4.148537063598632,2.2118066538396457
238896,6.261567240464119,4.5495611324808705,4.6,6.014496284723282,1.4649351522424112
619748,12.10228539536385,8.57365817168409,9.5,11.35884919166565,2.7851910199815606
259936,6.1633305704075525,8.187934746030125,10.3,12.1082843542099,3.920349608179775
614089,8.502638110920632,7.355788480709925,6.6,8.61496353149414,1.2591750507842159
548201,5.977212856,4.346124354068824,3.8,5.743379348516464,1.39725499444764
549453,7.96115247401085,8.052201312191645,14.5,12.474094319343566,4.421893007151921
550072,0.7146867208593537,3.4062547776999117,1.0,5.145448493957519,1.7391937162576077
613717,6.952610811263502,6.5954048357457085,7.5,7.9016025245189665,1.306197688773258
25171,6.31354679161301,6.402961435174786,7.2,9.825539946556091,3.422578511381305
25566,12.941345424492932,8.17017063847597,10.7,12.315214312076568,4.145043673600599
26055,11.984042517998782,8.574331423850534,11.1,13.034211981296538,4.459880557446004
23314,7.517569496806229,6.137722479417168,4.7,6.470684033632278,0.3329615542151094
74228,2.683348287709447,4.4812596343191125,4.9,6.697910320758819,2.2166506864397064
16904,1.7441744493322675,2.698634471553099,2.6,5.276980912685394,2.578346441132295
354268,9.592784078,8.650241593756359,8.6,11.038414478302002,2.388172884545643
77676,4.108535609029803,3.260594826963123,2.9,4.85857400894165,1.597979181978527
77886,7.919280761407323,7.832128222418158,11.1,10.30286167860031,2.4707334561821526
352738,6.248700312147425,8.077505580506198,11.5,11.684211337566376,3.606705757060178
247104,3.905506713147787,4.616220343312935,6.5,5.894189393520355,1.2779690502074201
247295,9.277291183,7.012927897973661,5.4,9.164867126941681,2.15193922896802
247959,5.368384930653233,7.380574964090206,9.7,8.718686807155608,1.338111843065402
249485,7.24034399578969,8.57615355251236,11.5,12.394019436836242,3.817865884323883
250122,9.743655232,9.78589151673252,16.7,12.681290781497955,2.8953992647654356
256645,10.275305214966084,5.066838163210014,6.0,6.528362900018692,1.461524736808678
256767,5.700951662322844,8.192742372557243,12.6,9.345670008659363,1.1529276361021203
27764,11.812935272707431,8.87503930636521,7.7,13.582707738876342,4.707668432511133
298429,6.8797113,6.365117021810878,3.5,7.387296563386917,1.0221795415760386
298586,9.524333120701124,8.955456708485139,8.5,12.854121708869933,3.898665000384794
76819,2.654462871232229,4.143156283011401,3.4,5.237772434949875,1.0946161519384736
77125,3.6337092324333033,3.944353548009193,6.6,5.743910908699036,1.7995573606898425
356912,5.004350834006331,6.027515974590167,4.4,7.077296555042267,1.0497805804520999
73052,3.4969261488196377,6.178195343019936,13.3,7.309578698873519,1.1313833558535835
21362,4.121636683579611,4.894475727208302,2.5,5.83550534248352,0.9410296152752178
621661,7.538913374158533,7.413917415315676,20.6,9.573206734657287,2.159289319341611
65542,10.952762479021889,7.921857848241474,13.1,10.601916182041167,2.6800583337996935
64138,7.133876154614731,8.579759601787426,17.5,12.019275784492493,3.4395161827050664
78946,6.719235815797138,8.163099514449927,6.7,12.337452936172484,4.174353421722557
253883,11.420292979999997,8.263290240472012,8.6,8.858195042610168,0.5949048021381564
Average,6.888406377034507,6.606302355640007,8.18974358974359,8.927168748928953,2.320866393288943
