Data_Masked_Index,Apokasc2 Real Age,APOKASC2 Predicted Age,TESS Real Age,TESS Predicted Age,Age Difference (APOKASC2 - TESS)
19140272-1554055,9.225714271547629,8.807335512278351,1.8023030918124707,2.4979493313986256,6.309386180879725
19155129-1617591,7.9983425500702845,5.6000294608051755,1.0483588590152084,2.337702469975355,3.2623269908298207
19171130-1603082,13.121998990192042,9.954056364480909,2.574277954846038,4.946271019001645,5.007785345479264
19180978-1616222,7.979946872679768,8.166338925619197,2.764406010747628,3.5125884356712103,4.653750489947987
2M00000002+7417074,9.79489985408699,8.30876886215292,6.6001432109618206,7.136476916870301,1.1722919452826197
2M00000019-1924498,2.910717118066605,4.098238794834018,7.605498315111465,5.814541676739974,-1.7163028819059551
2M00000032+5737103,11.66809617060963,1.180354769971757,0.5198575922620129,1.9076697303229964,-0.7273149603512394
2M00000032+5737103,0.4285485203974396,5.386075723540306,4.994844984058082,3.336882136658859,2.049193586881447
2M00000035-7323394,6.854882264526614,2.410089682809538,3.332326720168662,3.5907858184164634,-1.1806961356069254
2M00000068+5710233,2.213094709605639,5.461330897333086,7.195799783127602,5.318705619481825,0.1426252778512609
2M00000103+1525513,1.2445146117713857,1.4443782349201637,7.527996407547332,7.849531329789131,-6.405153094868967
2M00000133+5721163,1.0990058394325208,8.827189103385622,1.0262607571070723,4.466320287322407,4.360868816063215
2M00000211+6327470,8.790225168308842,7.301318230775008,2.904982743627664,4.543761084829733,2.757557145945275
2M00000222+5625359,9.354056741475521,6.664140272925101,2.284971170078178,3.4774884142108333,3.1866518587142676
2M00000233+1452324,4.875284901033865,3.450761485829297,2.6038361491616433,7.383327261107237,-3.9325657752779395
2M00000317+5821383,5.370317963702527,2.7081640422362003,6.92726628179133,6.920777989900328,-4.212613947664128
2M00000446+5854329,2.4945947269429536,6.1415444475520005,5.819112373253289,8.52647913679521,-2.3849346892432095
2M00000506+5656353,4.645152752227492,6.463243697262384,7.960993818782389,6.407526638221226,0.0557170590411582
2M00000506+5656353,4.466835921509631,4.759836463505009,4.945369764554966,3.4855160569704173,1.274320406534592
2M00000523-1937381,5.6623928903825345,8.40833666016744,5.343459702518916,6.1654167270466536,2.2429199331207856
2M00000535+1504343,7.53355563733717,1.8760591239172058,6.468835890900603,8.76215560309943,-6.886096479182224
2M00000535+1504343,1.6255487557504835,6.1589152160225975,13.8,6.422126065337417,-0.2632108493148193
2M00000546+6152107,5.357966575133417,6.561543378411569,3.120550011714065,5.122908803888118,1.4386345745234514
2M00000549+1524008,5.9156163417547365,6.853330300194199,6.821795518363869,3.861627523367439,2.99170277682676
2M00000585+1451550,7.430191378967013,1.6915222076981802,3.0306794467604705,7.698641158332688,-6.007118950634507
2M00000644+5733530,0.9571940712948442,2.0335494024892307,7.812549528607207,6.685094936001523,-4.651545533512293
2M00000662+7528598,4.0179081084894,7.414149960072391,3.800447233512331,7.084271547314129,0.32987841275826124
2M00000717-7213573,9.183325964835811,9.934567132222769,4.679149290736371,7.186538683148967,2.748028449073802
2M00000797+6436119,9.772372209558112,3.716743181283263,14.151886059048142,2.552968262601456,1.1637749186818072
2M00000799+7939442,3.026913428101305,4.387435542969273,0.5544515975670781,4.5340921428796435,-0.1466565999103704
2M00000818+5634264,1.432187899273544,4.864019297334278,4.178886534805128,6.787447710565948,-1.9234284132316697
2M00000866+7122144,7.53355563733717,5.198582159533923,2.9760109573450135,3.9555139213730115,1.2430682381609115
2M00000940+5515185,5.2360043658575,1.442833808187383,4.756059132882845,6.590999052488192,-5.148165244300809
2M00000943+6254542,1.3212956341865751,4.833195279049629,7.193933244559998,6.804089292003057,-1.970894012953428
2M00001045+6126148,8.871560120379609,11.211127180989601,6.56603291032183,8.694454893563698,2.5166722874259033
2M00001071+6258172,13.995873225726179,7.7720793826605465,5.417271107004813,5.922403656654669,1.8496757260058772
2M00001104+6348085,6.622165037017622,3.9123787641875256,7.493590445801481,6.515384006819713,-2.6030052426321872
2M00001153+5736447,2.735268726306711,8.552879772261578,3.764321281950132,6.079729249259839,2.473150523001739
2M00001199+6114138,9.440608762859236,9.483556451015502,5.406206815750537,8.658972791617472,0.82458365939803
2M00001217-1949306,11.587773561551261,3.450813839277866,6.864217447926238,4.223216966884627,-0.7724031276067613
2M00001242+5524391,1.9906733389871862,6.8917460973440425,5.608872308428658,4.431003534000229,2.460742563343813
2M00001242+5524391,8.64967918775693,8.783812420366848,3.089561399149324,4.695251056773015,4.088561363593834
2M00001296+5851378,6.223002851691596,6.874311870147907,5.601749398939622,7.033215054253339,-0.1589031841054318
2M00001328+5725563,2.4210290467361775,3.7508895282611823,7.6591956385681215,4.5696486846446644,-0.8187591563834822
