APOGEE_index,actual_age,apokasc3_predicted_age,apok2_predicted_age,apokasc3_apok2_diff
563841,1.4097,1.8893308076888322,2.965765435579419,-1.0764346278905867
564030,1.1594,2.5649016980677843,11.04824525334835,-8.483343555280566
552065,0.5842,1.9013253766357898,5.510722163951397,-3.6093967873156068
551977,3.1325,5.11051923442483,5.7734484539508815,-0.6629292195260517
552506,2.8815,4.426363089376688,11.211187787890434,-6.784824698513747
552793,5.8519,6.0808349821150305,4.637533816936612,1.4433011651784184
552879,9.1818,10.268909428954125,26.340398853993417,-16.071489425039292
552153,2.6495,5.830980158507824,8.437377740174531,-2.606397581666707
552341,0.4326,3.1612383282601835,7.646460570538044,-4.48522224227786
552806,3.5773,1.9281303847432136,3.259216089078784,-1.3310857043355702
552621,3.9144,2.8270791616648436,2.950585223901272,-0.12350606223642835
551569,16.2932,6.739098885601759,3.499635881111026,3.2394630044907333
551348,14.3032,9.58275802872777,21.948793798041343,-12.366035769313573
551221,5.307,5.616064171922207,10.294963810515403,-4.6788996385931965
552061,5.4766,6.87280664498806,3.1769810724198817,3.6958255725681783
551952,3.5189,4.0783596163898705,2.728508540019393,1.3498510763704776
552317,3.673,3.2682271070569753,2.777082884439826,0.4911442226171494
552102,7.6513,5.410145205616951,7.729647722268105,-2.319502516651154
552010,6.7809,9.511808364325761,7.5330844672501085,1.9787238970756524
552058,4.0982,5.773339388555288,13.566820695590973,-7.793481307035685
552173,2.3309,3.912726316058636,2.5963586077541114,1.3163677083045244
550847,7.1138,6.356074047499895,7.168588498413563,-0.8125144509136675
551901,1.1089,3.0758062957406045,4.803299803778529,-1.7274935080379246
551824,3.9148,3.001584961089492,6.384609521001577,-3.3830245599120854
551564,5.8036,5.98124894413948,8.24018225580454,-2.258933311665059
550492,9.166,9.093968918770551,18.953082329285145,-9.859113410514594
550459,21.5715,6.513398256075382,4.52409647372067,1.989301782354712
550392,1.9805,2.2769603051394225,3.0028637091100214,-0.7259034039705989
550520,9.2652,7.869918068987131,3.8111039046674966,4.058814164319634
550737,2.4357,3.5592768637597563,5.09411976494193,-1.534842901182174
551196,3.6256,2.449434105429053,2.7739672301977873,-0.3245331247687342
551082,4.7933,7.76844875741601,5.939504309785366,1.8289444476306445
550541,3.6793,2.545096413731575,3.3648727536320684,-0.8197763399004936
550838,5.8336,8.39163034747839,13.19513632568121,-4.8035059782028195
550948,9.1656,6.341044602692127,4.004188731774688,2.3368558709174394
551115,8.7688,6.192237410008907,7.425565817266703,-1.2333284072577957
550867,1.5859,5.532968588465452,6.801890225118399,-1.268921636652947
550063,5.9033,5.0641355297148225,4.001816996848583,1.0623185328662395
550310,3.8705,5.549020448452234,6.793269976204634,-1.2442495277524
550651,6.5434,6.876320650380849,4.9468575681567195,1.9294630822241299
550530,8.0238,7.906481222194433,17.567083947980404,-9.66060272578597
550743,7.6966,7.512269890576601,8.022952566415071,-0.5106826758384706
550846,6.9019,9.712873628908396,20.36981148970127,-10.656937860792874
550584,7.9499,5.649000754916668,7.706599929553271,-2.0575991746366027
550167,8.4179,9.344304330003261,23.22945950317383,-13.885155173170567
550146,1.9292,3.2388841413617135,4.477048461601138,-1.2381643202394241
549946,3.9786,2.897000286895037,4.305555958253145,-1.4085556713581084
549400,5.0684,6.204443985754251,13.027062468409538,-6.822618482655287
549481,5.627,4.044459525194764,2.6729855051010847,1.3714740200936792
549359,1.269,2.349143516662717,4.256533395883441,-1.907389879220724
549100,7.7935,6.612151431030035,7.408647266489267,-0.7964958354592326
549660,5.2784,7.528380657541752,6.127563963371515,1.4008166941702367
549813,6.961,6.827976684737205,5.454463666659594,1.3735130180776114
550039,2.7504,4.744103831273318,9.281317605954408,-4.53721377468109
550139,11.0523,10.42402258450985,27.881123121213914,-17.457100536704065
549363,4.6676,8.271796056354045,14.410996189284324,-6.139200132930279
549394,8.0217,7.812848288458586,5.793536900049448,2.019311388409138
549519,8.7441,6.677440776371956,7.884210884946585,-1.206770108574629
549586,31.9013,14.550524074780942,6.513146880751848,8.037377194029094
549421,6.4723,7.412491384255886,5.712392828965187,1.7000985552906993
549299,7.2175,7.8874507687568665,6.118084022516012,1.7693667462408547
549261,6.7464,6.891537897634506,6.174498827433586,0.7170390702009195
549538,1.3272,2.7120341245293615,7.33922568410039,-4.627191559571028
549508,9.1294,9.12392224241495,18.561536392629147,-9.437614150214197
549581,4.0814,9.776993583244085,24.20294572942257,-14.425952146178485
549934,7.5182,9.713500609123706,29.455672825241088,-19.742172216117382
549790,0.6136,3.8913168372273446,2.9049291078597306,0.986387729367614
549819,4.8224,7.936251409292221,5.683380267262459,2.252871142029762
548845,7.8567,7.031497378814221,6.165138450247049,0.8663589285671716
549021,10.5641,7.2817610518455504,5.872193463581801,1.4095675882637497
549167,9.625,6.896134391659498,5.853947464460134,1.0421869271993636
548981,8.7459,7.020158660334348,6.153261403638124,0.8668972566962241
548941,8.2309,7.832983976787329,5.579273556125164,2.2537104206621645
548878,5.953,9.004608782297373,3.929878745037317,5.074730037260055
548707,7.7568,7.640588536298275,5.350953607392311,2.289634928905964
548768,10.3481,10.957067749106884,23.49006164252758,-12.532993893420695
548508,1.2043,9.793773906755447,20.394629407954216,-10.600855501198769
548531,1.7679,2.7774821104466914,6.257327871394157,-3.4798457609474656
549224,7.1859,7.797999647247791,5.7197497856497765,2.0782498615980147
549327,5.1969,7.951076721006632,5.809837219172716,2.1412395018339154
549283,7.9061,8.111233713680505,6.3934636481165885,1.7177700655639168
549298,2.6507,2.938023748192191,4.493754713961482,-1.5557309657692908
